n_a,n_b,successes,trials,estimate,cost_weight,cost_yuan,a_cost_yuan,b_cost_yuan,a_volume_um3,b_volume_um3,total_volume_um3,a_volume_percent,b_volume_percent,total_volume_percent,cp_one_sided_95_lower,cp_one_sided_family_lower,family_size
566,504,45003,50000,0.90006,353178,9.2461784184128,8.401718313127862,0.8444601052849363,8.001636488693203,16.88920210569873,24.89083859439193,0.8001636488693202,1.6889202105698728,2.489083859439193,0.897826589732955,0.897826589732955,1
565,516,45002,50000,0.90004,353379,9.251440586107561,8.386874287839651,0.864566298267911,7.987499321752048,17.291325965358222,25.27882528711027,0.7987499321752047,1.7291325965358222,2.527882528711027,0.8978063943843658,0.8978063943843658,1
564,528,45010,50000,0.9002,353580,9.256702753802324,8.372030262551439,0.8846724912508857,7.973362154810894,17.693449825017716,25.66681197982861,0.7973362154810895,1.7693449825017715,2.5666811979828608,0.8979679579367683,0.8979679579367683,1
563,538,45004,50000,0.90008,353653,9.258613889333258,8.357186237263228,0.9014276520700313,7.95922498786974,18.028553041400627,25.987778029270366,0.795922498786974,1.8028553041400628,2.5987778029270365,0.8978467851088042,0.8978467851088042,1
562,547,45004,50000,0.90008,353662,9.258849508782278,8.342342211975016,0.9165072968072623,7.945087820928586,18.33014593614525,26.275233757073835,0.7945087820928586,1.833014593614525,2.6275233757073835,0.8978467851088042,0.8978467851088042,1
561,557,45007,50000,0.90014,353735,9.260760644313212,8.327498186686803,0.9332624576264078,7.9309506539874315,18.66524915252816,26.59619980651559,0.7930950653987432,1.8665249152528158,2.659619980651559,0.8979073713999849,0.8979073713999849,1
560,566,45010,50000,0.9002,353744,9.26099626376223,8.312654161398592,0.9483421023636388,7.916813487046277,18.96684204727278,26.883655534319058,0.7916813487046278,1.896684204727278,2.6883655534319058,0.8979679579367683,0.8979679579367683,1
559,576,45009,50000,0.90018,353817,9.262907399293164,8.29781013611038,0.9650972631827844,7.902676320105123,19.301945263655693,27.204621583760815,0.7902676320105123,1.9301945263655693,2.7204621583760815,0.8979477623972059,0.8979477623972059,1
558,587,45011,50000,0.90022,353954,9.266494050906013,8.28296611082217,0.9835279400838445,7.888539153163969,19.670558801676894,27.559097954840862,0.7888539153163969,1.9670558801676894,2.755909795484086,0.8979881535036419,0.8979881535036419,1
557,598,45017,50000,0.90034,354091,9.270080702518861,8.268122085533957,1.0019586169849046,7.874401986222815,20.039172339698098,27.913574325920912,0.7874401986222815,2.0039172339698097,2.791357432592091,0.8981093274788239,0.8981093274788239,1
556,607,45001,50000,0.90002,354100,9.270316321967881,8.253278060245744,1.0170382617221356,7.860264819281661,20.340765234442717,28.201030053724377,0.7860264819281662,2.0340765234442717,2.8201030053724376,0.8977861990630301,0.8977861990630301,1
555,618,45001,50000,0.90002,354237,9.273902973580729,8.238434034957534,1.0354689386231957,7.846127652340507,20.709378772463918,28.555506424804424,0.7846127652340507,2.070937877246392,2.8555506424804427,0.8977861990630301,0.8977861990630301,1
554,630,45001,50000,0.90002,354438,9.279165141275492,8.223590009669321,1.0555751316061703,7.831990485399354,21.11150263212341,28.943493117522763,0.7831990485399354,2.111150263212341,2.894349311752276,0.8977861990630301,0.8977861990630301,1
553,642,45006,50000,0.90012,354639,9.284427308970255,8.20874598438111,1.075681324589145,7.8178533184582,21.513626491782905,29.331479810241106,0.78178533184582,2.1513626491782905,2.933147981024111,0.8978871759423113,0.8978871759423113,1
552,652,45003,50000,0.90006,354712,9.286338444501189,8.193901959092898,1.0924364854082906,7.803716151517046,21.848729708165816,29.652445859682864,0.7803716151517045,2.1848729708165817,2.965244585968286,0.897826589732955,0.897826589732955,1
551,665,45013,50000,0.90026,354977,9.293276128277865,8.179057933804685,1.11421819447318,7.789578984575892,22.284363889463602,30.073942874039496,0.7789578984575892,2.2284363889463603,3.007394287403949,0.8980285447193513,0.8980285447193513,1
550,675,45002,50000,0.90004,355050,9.2951872638088,8.164213908516475,1.1309733552923256,7.7754418176347375,22.619467105846514,30.394908923481253,0.7775441817634737,2.2619467105846516,3.0394908923481254,0.8978063943843658,0.8978063943843658,1
549,688,45006,50000,0.90012,355315,9.302124947585478,8.149369883228262,1.1527550643572146,7.761304650693583,23.055101287144296,30.816405937837878,0.7761304650693583,2.3055101287144297,3.0816405937837876,0.8978871759423113,0.8978871759423113,1
548,699,45004,50000,0.90008,355452,9.305711599198325,8.134525857940051,1.171185741258275,7.747167483752429,23.4237148251655,31.170882308917932,0.7747167483752428,2.3423714825165503,3.117088230891793,0.8978467851088042,0.8978467851088042,1
547,710,45002,50000,0.90004,355589,9.309298250811175,8.119681832651839,1.189616418159335,7.733030316811275,23.7923283631867,31.52535867999798,0.7733030316811276,2.3792328363186703,3.152535867999798,0.8978063943843658,0.8978063943843658,1
545,730,45001,50000,0.90002,355735,9.313120521873042,8.089993782075416,1.223126739797626,7.704755982928967,24.462534795952525,32.167290778881494,0.7704755982928967,2.4462534795952524,3.216729077888149,0.8977861990630301,0.8977861990630301,1
546,722,45002,50000,0.90004,355790,9.314560418505938,8.104837807363626,1.2097226111423096,7.718893149870121,24.194452222846195,31.913345372716314,0.7718893149870121,2.4194452222846192,3.191334537271631,0.8978063943843658,0.8978063943843658,1
544,740,45007,50000,0.90014,355808,9.315031657403976,8.075149756787203,1.2398819006167716,7.690618815987813,24.797638012335437,32.48825682832325,0.7690618815987813,2.4797638012335437,3.248825682832325,0.8979073713999849,0.8979073713999849,1
543,752,45006,50000,0.90012,356009,9.320293825098739,8.060305731498993,1.2599880935997463,7.676481649046659,25.19976187199493,32.87624352104159,0.7676481649046659,2.519976187199493,3.287624352104159,0.8978871759423113,0.8978871759423113,1
542,764,45005,50000,0.9001,356210,9.325555992793502,8.04546170621078,1.280094286582721,7.662344482105505,25.601885731654423,33.26423021375993,0.7662344482105504,2.5601885731654423,3.326423021375993,0.8978669805119213,0.8978669805119213,1
541,776,45007,50000,0.90014,356411,9.330818160488263,8.03061768092257,1.3002004795656956,7.648207315164351,26.004009591313917,33.652216906478266,0.7648207315164351,2.6004009591313917,3.3652216906478265,0.8979073713999849,0.8979073713999849,1
540,787,45006,50000,0.90012,356548,9.334404812101113,8.015773655634357,1.3186311564667557,7.634070148223197,26.37262312933512,34.00669327755832,0.7634070148223197,2.637262312933512,3.400669327755832,0.8978871759423113,0.8978871759423113,1
539,800,45001,50000,0.90002,356813,9.34134249587779,8.000929630346144,1.340412865531645,7.619932981282043,26.808257310632904,34.428190291914945,0.7619932981282043,2.6808257310632904,3.442819029191494,0.8977861990630301,0.8977861990630301,1
