N_A,N_B,successes,trials,probability,standard_error,Wilson95_low,Wilson95_high
631,0,46762,50000,0.93524,0.00110060113029,0.933049248587,0.937363878289
632,0,46837,50000,0.93674,0.00108865212442,0.934572547421,0.938840348985
633,0,46920,50000,0.9384,0.00107522499971,0.936258730237,0.940473911116
634,0,46993,50000,0.93986,0.00106323262177,0.93774211695,0.941910300079
635,0,47081,50000,0.94162,0.00104853970454,0.939530772158,0.943641374453
636,0,47153,50000,0.94306,0.00103631883511,0.940994607924,0.945057317436
637,0,47223,50000,0.94446,0.00102425883838,0.942418131439,0.946433578816
638,0,47300,50000,0.946,0.00101078187558,0.943984420565,0.947947053075
639,0,47367,50000,0.94734,0.000998868603972,0.945347660971,0.949263606782
640,0,47432,50000,0.94864,0.000987138798751,0.946670544853,0.950540523159
641,0,47498,50000,0.94996,0.000975048700322,0.948014133057,0.951836732142
642,0,47558,50000,0.95116,0.000963894749441,0.949235896065,0.953014784758
643,0,47624,50000,0.95248,0.000951439431598,0.950580199647,0.954310278363
644,0,47685,50000,0.9537,0.00093974794493,0.951823014134,0.955507276427
645,0,47739,50000,0.95478,0.000929248638417,0.952923503323,0.9565666213
646,0,47795,50000,0.9559,0.000918206839443,0.954065052277,0.957664900262
647,0,47850,50000,0.957,0.000907204497343,0.955186525338,0.958743258189
648,0,47901,50000,0.95802,0.000896857620807,0.956226720141,0.959742906667
649,0,47957,50000,0.95914,0.000885329999492,0.957369220623,0.960840234101
650,0,48017,50000,0.96034,0.000872778143631,0.958593721618,0.96201554873
651,0,48065,50000,0.9613,0.000862581126619,0.959573627021,0.962955495826
652,0,48118,50000,0.96236,0.000851154867225,0.960655933069,0.963993026913
653,0,48165,50000,0.9633,0.000840869906704,0.961616012052,0.964912803503
654,0,48218,50000,0.96436,0.000829093365068,0.962699004087,0.965949648602
655,0,48252,50000,0.96504,0.000821435309687,0.963393955976,0.966614592233
656,0,48296,50000,0.96592,0.000811400685235,0.964293548698,0.967474864302
657,0,48356,50000,0.96712,0.000797482358426,0.965520725741,0.968647502884
658,0,48411,50000,0.96822,0.000784474749116,0.966646125899,0.969721933714
659,0,48461,50000,0.96922,0.000772432412577,0.967669642331,0.970698263635
660,0,48498,50000,0.96996,0.000763381928002,0.968427316968,0.9714204753
661,0,48532,50000,0.97064,0.000754956825256,0.969123770858,0.972083916931
662,0,48577,50000,0.97154,0.000743640079608,0.970045872843,0.972961676664
663,0,48620,50000,0.9724,0.000732642341119,0.970927352696,0.973800064675
664,0,48646,50000,0.97292,0.000725901833584,0.971460518116,0.974306819358
665,0,48683,50000,0.97366,0.000716187187822,0.97221949313,0.975027730646
666,0,48736,50000,0.97472,0.000702010279127,0.973307185185,0.976059875726
667,0,48769,50000,0.97538,0.000693020282531,0.973984746246,0.976702213258
668,0,48808,50000,0.97616,0.000682226566472,0.974785831405,0.977461008255
669,0,48849,50000,0.97698,0.000670672492354,0.97562840274,0.97825831093
670,0,48889,50000,0.97778,0.000659185430664,0.976450844004,0.979035746748
671,0,48924,50000,0.97848,0.000648951301717,0.977170838212,0.979715644988
672,0,48953,50000,0.97906,0.000640336105495,0.977767670032,0.980278724052
673,0,48979,50000,0.97958,0.000632503337541,0.978302973573,0.980783340615
674,0,49011,50000,0.98022,0.000622715851733,0.978962096705,0.981404119149
675,0,49049,50000,0.98098,0.000610872156838,0.97974523804,0.982140861043
676,0,49077,50000,0.98154,0.000601983860249,0.980322605331,0.98268340771
677,0,49103,50000,0.98206,0.000593601826143,0.980858983783,0.983186949362
678,0,49127,50000,0.98254,0.000585749919334,0.981354326687,0.983651532708
679,0,49159,50000,0.98318,0.000575101514517,0.982015134518,0.984270626543
680,0,49193,50000,0.98386,0.000563551247004,0.982717705244,0.984927951337
681,0,49213,50000,0.98426,0.000556637267886,0.983131216334,0.985314378788
682,0,49244,50000,0.98488,0.000545735936145,0.983772519785,0.985912980077
683,0,49269,50000,0.98538,0.000536772868167,0.984290035807,0.986395387231
684,0,49295,50000,0.9859,0.000527279622212,0.984828588237,0.986896754905
685,0,49320,50000,0.9864,0.000517977605694,0.985346767235,0.987378499084
686,0,49340,50000,0.9868,0.000510406896505,0.985761562916,0.987763641945
687,0,49365,50000,0.9873,0.000500773601541,0.986280389793,0.988244738244
688,0,49386,50000,0.98772,0.000492528204269,0.986716504398,0.988648559107
689,0,49403,50000,0.98806,0.000485745538322,0.987069760379,0.988975250886
690,0,49431,50000,0.98862,0.000474352097076,0.987652027787,0.989512897437
691,0,49459,50000,0.98918,0.000462664621513,0.988234870017,0.990049969164
692,0,49477,50000,0.98954,0.000454985459108,0.988609878373,0.990394905496
693,0,49499,50000,0.98998,0.00044541215969,0.989068588695,0.99081612757
694,0,49513,50000,0.99026,0.000439206839655,0.989360716531,0.991083956712
695,0,49528,50000,0.99056,0.000432455463603,0.989673911561,0.991370715588
696,0,49542,50000,0.99084,0.000426053855751,0.98996642295,0.991638161179
697,0,49560,50000,0.9912,0.00041767355674,0.990342801417,0.991981727398
698,0,49577,50000,0.99154,0.000409595615211,0.990698588811,0.992305887765
699,0,49595,50000,0.9919,0.000400858828018,0.991075663632,0.992648757631
700,0,49610,50000,0.9922,0.000393424961079,0.991390191866,0.992934183303
701,0,49622,50000,0.99244,0.000387371821381,0.99164202153,0.993162316764
702,0,49638,50000,0.99276,0.000379145945514,0.991978097087,0.99346619204
703,0,49655,50000,0.9931,0.000370199675851,0.992335580043,0.993788656844
704,0,49671,50000,0.99342,0.000361571669244,0.992672440531,0.99409174719
705,0,49685,50000,0.9937,0.000353844881269,0.9929675394,0.994356605299
706,0,49696,50000,0.99392,0.000347650215015,0.993199643977,0.99456446692
707,0,49708,50000,0.99416,0.000340760748913,0.993453105769,0.994790968252
708,0,49724,50000,0.99448,0.000331346634207,0.993791499789,0.995092525066
709,0,49735,50000,0.9947,0.000324712488211,0.994024461427,0.995299529625
710,0,49750,50000,0.995,0.000315436205912,0.994342584167,0.995581360791
711,0,49756,50000,0.99512,0.00031164677441,0.994469987059,0.995693939462
712,0,49769,50000,0.99538,0.000303270690968,0.994746349387,0.995937537186
713,0,49777,50000,0.99554,0.000297996926159,0.994916650793,0.996087211196
714,0,49784,50000,0.99568,0.000293303174207,0.995065818768,0.996218021711
715,0,49793,50000,0.99586,0.000287153631354,0.995257829505,0.996385983318
716,0,49798,50000,0.99596,0.000283678635079,0.995364616165,0.996479181293
717,0,49806,50000,0.99612,0.00027802681885,0.995535653502,0.996628119372
718,0,49816,50000,0.99632,0.000270793559746,0.995749777949,0.996813964196
719,0,49825,50000,0.9965,0.000264111718786,0.995942824255,0.996980890234
720,0,49831,50000,0.99662,0.000259560228078,0.996071710221,0.99709198583
